d_min;d_max;classe;gioco_min;gioco_max
0;10;C2;2;7
10;18;C2;3;9
18;24;C2;4;10
0;10;C3;8;16
10;10;C3;14;24
10;14;C3;17;27
10;18;C3;10;19
14;18;C3;17;27
18;24;C3;11;21
18;24;C3;19;29
24;30;C3;20;30
30;40;C3;22;34
40;50;C3;23;36
50;65;C3;23;43
10;10;C3H;17;24
10;14;C3H;22;27
14;18;C3H;22;27
18;24;C3H;24;29
24;30;C3H;25;30
30;40;C3H;28;34
40;50;C3H;30;36
50;65;C3H;28;43
10;10;C3L;14;17
10;14;C3L;17;19
14;18;C3L;17;19
18;24;C3L;19;21
24;30;C3L;20;22
30;40;C3L;22;23
40;50;C3L;23;23
50;65;C3L;23;23
0;10;C4;16;25
10;18;C4;19;30
18;24;C4;21;33
10;10;C4H;27;32
10;14;C4H;30;35
14;18;C4H;30;35
18;24;C4H;32;37
24;30;C4H;34;40
30;40;C4H;36;43
40;50;C4H;43;51
50;65;C4H;53;62
10;10;C4L;22;27
10;14;C4L;22;27
14;18;C4L;25;30
18;24;C4L;27;32
24;30;C4L;28;34
30;40;C4L;30;36
40;50;C4L;35;43
50;65;C4L;43;53
10;10;C5;35;40
10;14;C5;35;45
14;18;C5;39;45
18;24;C5;35;47
24;30;C5;38;52
30;40;C5;43;62
40;50;C5;47;71
50;65;C5;51;71
10;10;C5H;35;40
10;14;C5H;39;45
14;18;C5H;39;45
18;24;C5H;41;47
24;30;C5H;45;52
30;40;C5H;51;62
40;50;C5H;61;71
50;65;C5H;61;71
10;10;C5L;35;40
10;14;C5L;35;39
14;18;C5L;39;43
18;24;C5L;35;41
24;30;C5L;38;47
30;40;C5L;43;51
40;50;C5L;47;55
50;65;C5L;51;62
0;10;CN;3;9
10;10;CN;10;16
10;14;CN;10;19
10;18;CN;4;11
14;18;CN;10;19
18;24;CN;5;12
18;24;CN;11;21
24;30;CN;12;22
30;40;CN;12;22
40;50;CN;11;23
50;65;CN;14;28
10;10;CNH;10;16
10;14;CNH;10;19
14;18;CNH;10;19
18;24;CNH;11;21
24;30;CNH;12;22
30;40;CNH;12;22
40;50;CNH;11;23
50;65;CNH;14;28
10;10;CNL;10;12
10;14;CNL;10;12
14;18;CNL;10;12
18;24;CNL;11;13
24;30;CNL;12;14
30;40;CNL;12;14
40;50;CNL;11;14
50;65;CNL;14;16
